date,pm2_5_mean,pm10_mean,co_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,wind_direction_mean,precipitation_sum,pressure_mean,hours_count
2023-01-01,11.545833333333334,16.954166666666666,471.2916666666667,0.0,20.079166666666666,65.41666666666667,4.145833333333333,158.625,0.0,994.3874999999999,24
2023-01-02,10.45,15.166666666666666,489.0833333333333,0.0,19.979166666666668,69.125,3.6208333333333336,159.625,0.0,994.7166666666667,24
2023-01-03,15.070833333333333,21.820833333333336,519.25,0.0,20.412499999999998,71.0,3.9250000000000003,202.79166666666666,0.0,994.6583333333333,24
2023-01-04,11.916666666666666,17.220833333333335,479.875,0.0,22.3625,70.5,2.5416666666666665,133.875,0.0,993.6708333333332,24
2023-01-05,9.637500000000001,13.845833333333333,402.0833333333333,0.0,21.991666666666664,70.125,4.5249999999999995,99.875,0.0,993.4499999999999,24
2023-01-06,9.299999999999999,13.333333333333334,399.2083333333333,0.0,21.3,61.791666666666664,5.683333333333334,104.20833333333333,0.0,994.6416666666668,24
2023-01-07,12.554166666666667,17.9875,394.0416666666667,0.0,20.258333333333333,55.625,7.4750000000000005,160.45833333333334,0.0,993.0083333333333,24
2023-01-08,16.970833333333335,24.320833333333336,491.125,0.0,20.866666666666667,58.458333333333336,5.0125,142.83333333333334,0.0,992.025,24
2023-01-09,16.575,23.775000000000002,482.1666666666667,0.0,22.09583333333333,60.125,5.283333333333333,149.875,0.0,992.2375000000001,24
2023-01-10,16.912499999999998,24.25,432.3333333333333,0.0,23.849999999999998,66.5,4.6375,123.16666666666667,0.5,990.3874999999999,24
2023-01-11,12.65,18.208333333333332,331.4583333333333,0.0,23.183333333333334,76.95833333333333,4.916666666666667,138.83333333333334,0.6000000000000001,989.0124999999999,24
2023-01-12,13.283333333333333,19.091666666666665,319.4166666666667,0.0,23.2,74.45833333333333,5.291666666666667,177.66666666666666,0.7000000000000001,987.9958333333334,24
2023-01-13,14.375,20.650000000000002,266.2916666666667,0.0,23.254166666666666,67.58333333333333,5.9750000000000005,210.125,0.0,988.1625,24
2023-01-14,14.091666666666667,20.258333333333333,232.875,0.0,22.1375,61.291666666666664,4.366666666666666,214.125,0.0,986.6791666666667,24
