location,year,hotspot_count,total_frp_mw
chiangmai,2023,5392,15637.01000000002
chiangmai,2024,6061,21232.88999999993
chiangmai,2025,1736,5301.219999999992
chiangmai,2026,5977,18052.11999999996
nan,2023,10131,42685.61999999976
nan,2024,4689,19161.760000000024
nan,2025,3765,12411.459999999988
nan,2026,8333,30036.68000000003
