location,air4thai_station,air4thai_distance_deg,air4thai_pm25,air4thai_datetime,openmeteo_pm25,openmeteo_datetime,difference_openmeteo_minus_air4thai
chiangmai,Yupparaj Wittayalai School,0.0054,13.6,2026-09-05 12:00,6.4,2026-09-05T12:00,-7.20
nan,"Municipality Office, Nan",0.0137,14.6,2026-09-05 12:00,5.8,2026-09-05T12:00,-8.80
